Arabic term,Meaning,Literal translation
التقوى,"Vigilant awareness of Allah that produces reverence, obedience, and restraint from sin. It includes the sense of protecting oneself from divine displeasure, so neither ""fear"" nor ""piety"" alone is sufficient.",fear; piety
التوحيد,"Affirming Allah's absolute oneness and directing every act of worship to Him alone. It is more than belief in one deity; it also governs devotion, obedience, and one's understanding of divine lordship and attributes.",monotheism
الإيمان,"Faith involving inward conviction, verbal affirmation, and obedient commitment. In sermon language, it is a lived faith that can strengthen or weaken.",belief
الإسلام,"Willing submission to Allah through faith, worship, and obedience. The word describes both the religion of Islam and the act of surrendering to divine guidance.",Islam
الإحسان,"Spiritual and moral excellence, especially worshipping Allah with deep awareness and treating creation well. It is broader than ordinary kindness.",kindness
الشرك,"Assigning to another what belongs exclusively to Allah, especially worship or divine authority. It includes obvious and subtle forms, not only belief in several gods.",polytheism
الإخلاص,"Purifying worship and intention from all rivals and self-display. It is exclusive devotion to Allah, not frankness alone.",sincerity
النية,The heart's purposeful resolve that identifies and directs an act. It distinguishes acts and makes ordinary conduct devotional.,intention
الدين,"The divinely ordained way of faith, worship, ethics, and accountability. Depending on context, the same word can also mean judgment or recompense.",religion
الفطرة,The original God-given human disposition that is receptive to truth and worship. It is not every natural impulse or acquired social habit.,human nature
العبادة,"Loving and humble obedience to Allah through all inward and outward acts He approves. It includes belief, intention, ethics, and daily conduct as well as formal rituals.",worship
العبودية,"The human condition of devoted servitude and complete dependence on Allah. Although the literal root relates to servitude, the theological sense is honourable worshipful belonging, not human enslavement.",slavery
الخشوع,"Reverent humility and attentive stillness of the heart and body before Allah, especially in prayer. It combines inward presence, submission, and outward composure.",submission
التوكل,Reliance of the heart on Allah while using lawful and effective means. It rejects both passive fatalism and treating worldly causes as independently sufficient.,fatalism
الصبر,"Steadfast self-restraint in obeying Allah, avoiding sin, and enduring hardship. It is active perseverance rather than passive waiting.",patience
الشكر,"Recognizing a blessing as coming from its giver, praising the giver, and using the blessing rightly. Gratitude is expressed through the heart, speech, and action.",thanks
التوبة,"A sincere return from sin to obedience through regret, stopping the offence, and resolving not to repeat it. It is a change of direction, not an apology alone.",apology
الاستغفار,Seeking Allah's forgiveness and protection from the blame and consequences of sin. It can accompany repentance but is not limited to saying a formula.,asking pardon
الذكر,"Remembering or mentioning Allah, receiving a reminder, or the revealed reminder itself. Context can refer to devotional remembrance, the Qur'an, or moral recollection.",mention
الدعاء,"Calling upon Allah through request, praise, or worship. It usually means supplication and is distinct from the formal ritual prayer.",prayer
الرحمة,"Compassionate care that brings benefit and removes harm. When attributed to Allah, it refers to mercy bestowed in a manner fitting His majesty, not human weakness or indulgence.",pity
المغفرة,"Allah's covering and forgiving of sin while protecting the person from its harm. The concept includes pardon and safeguarding, not simply overlooking wrongdoing.",forgiveness
العفو,Pardon that removes blame and may erase the trace or consequence of an offence. It can convey more complete effacement than forgiveness alone.,pardon
الهداية,"Guidance that shows the right path and, when granted by Allah, can also enable a person to follow it. Context distinguishes explanation from inward direction and success.",guidance
الضلالة,Losing or departing from the path of right guidance. It can range from confusion to culpable rejection and is stronger than an ordinary mistake.,error
الفتنة,"A context-dependent term for a test, temptation, persecution, destabilizing trial, punishment, or civil strife. Its central image is a process that exposes or tests what is genuine.",temptation
البلاء,"A test permitted or decreed by Allah that reveals a person's response and may refine character. It can occur through hardship or prosperity, not only calamity.",calamity
اليقين,"Settled certainty free of destabilizing doubt. In spiritual discourse it has degrees and transforms conduct, not only intellectual confidence.",certainty
الغيب,"The unseen realm inaccessible to ordinary direct perception. It includes realities known through revelation, not simply what humans have not discovered yet.",the unknown
القدر,"Allah's measured decree and apportionment of creation and events. Unlike blind fate, it is connected with divine knowledge, will, measure, and creation.",fate
القضاء,"A decisive judgment, completion, or enactment. In theology it can refer to Allah's decree taking effect; in law it can mean judicial judgment, so context is essential.",destiny
المشيئة,"Divine will by which events occur or do not occur. It is an effective will, not an uncertain wish.",wish
الرضا,"Contented acceptance of Allah's decree without inward rebellion. It does not prevent grief, treatment, or lawful efforts to change a difficult situation.",satisfaction
الرجاء,Hope in Allah's mercy accompanied by pursuit of the actions that lead to it. Hope without repentance or effort can become mere wishful thinking.,optimism
الخوف,"Fear of Allah and accountability that restrains wrongdoing and encourages obedience. Its purpose is moral vigilance, not paralysis or panic.",terror
الخشية,Reverent fear arising from knowledge of Allah's greatness and one's responsibility before Him. It carries a stronger sense of awe and recognition than ordinary fear.,fear
الاستقامة,"Steadfast uprightness upon faith without deviating to extremes. It is comprehensive consistency in creed, worship, and conduct.",straightness
الثبات,"Firmness upon truth, especially under trial. It is steadfast constancy, not immobility.",stability
السكينة,"Serenity and stabilizing assurance bestowed by Allah, especially during fear or upheaval. It is an inward settling of the heart rather than ordinary quiet.",peace
الطمأنينة,"Deep settled tranquility arising from faith and remembrance. It is inward rest and confidence, not absence of difficulty.",calmness
