Arabic term,Meaning,Literal translation,Arabic variations + translation,Alternative context meaning(s)
التقوى,"Vigilant awareness of Allah that produces reverence, obedience, and restraint from sin. It includes the sense of protecting oneself from divine displeasure, so neither ""fear"" nor ""piety"" alone is sufficient.",fear; piety,اِتَّقَى (verb) — avoid; guard against | مُتَّقٍ (active participle) — God-conscious; pious | المُتَّقُون (plural) — the God-conscious; the pious,
الإحسان,"Spiritual and moral excellence, especially worshipping Allah with deep awareness and treating creation well. It is broader than ordinary kindness.",kindness,أَحْسَنَ (verb) — do good; do excellently | مُحْسِن (active participle) — doer of good; benefactor | مُحْسِنُون (plural) — doers of good; benefactors,
الشرك,"Assigning to another what belongs exclusively to Allah, especially worship or divine authority. It includes obvious and subtle forms, not only belief in several gods.",polytheism,أَشْرَكَ (verb) — associate partners; ascribe a partner | مُشْرِك (active participle) — polytheist; one who associates partners | مُشْرِكُون (plural) — polytheists; those who associate partners,
الإخلاص,"Purifying worship and intention from all rivals and self-display. It is exclusive devotion to Allah, not frankness alone.",sincerity,أَخْلَصَ (verb) — make sincere; devote exclusively | مُخْلِص (active participle) — sincere; devoted,
الدين,"The divinely ordained way of faith, worship, ethics, and accountability. Depending on context, the same word can also mean judgment or recompense.",religion,دَانَ بِـ (verb) — profess; adhere to | دِينِيّ (adjective) — religious; pertaining to religion,Different vocalization (الدَّيْن): debt; an obligation owed.
الفطرة,The original God-given human disposition that is receptive to truth and worship. It is not every natural impulse or acquired social habit.,human nature,فِطْرِيّ (nisba adjective) — innate; natural | فِطْرِيَّة (abstract noun) — innateness; naturalness,
العبودية,"The human condition of devoted servitude and complete dependence on Allah. Although the literal root relates to servitude, the theological sense is honourable worshipful belonging, not human enslavement.",slavery,عَبَدَ (verb) — worship; serve | عَابِد (active participle) — worshipper; devotee,
الخشوع,"Reverent humility and attentive stillness of the heart and body before Allah, especially in prayer. It combines inward presence, submission, and outward composure.",submission,خَشَعَ (verb) — humble oneself; submit reverently | خَاشِع (active participle) — humble; devout,
التوكل,Reliance of the heart on Allah while using lawful and effective means. It rejects both passive fatalism and treating worldly causes as independently sufficient.,fatalism,تَوَكَّلَ عَلَى (verb) — rely on; entrust oneself to | مُتَوَكِّل (active participle) — reliant; trusting,
الذكر,"Remembering or mentioning Allah, receiving a reminder, or the revealed reminder itself. Context can refer to devotional remembrance, the Qur'an, or moral recollection.",mention,ذَكَرَ (verb) — remember; mention | ذَاكِر (active participle) — one who remembers; remembering,Different vocalization (الذَّكَر): male; masculine sex.
الدعاء,"Calling upon Allah through request, praise, or worship. It usually means supplication and is distinct from the formal ritual prayer.",prayer,دَعَا (verb) — call upon; supplicate | دَاعٍ (active participle) — caller; supplicant,
الضلالة,Losing or departing from the path of right guidance. It can range from confusion to culpable rejection and is stronger than an ordinary mistake.,error,ضَلَّ (verb) — go astray; err | ضَالّ (active participle) — astray; misguided | ضَالُّون (plural) — the misguided; those astray,
الفتنة,"A context-dependent term for a test, temptation, persecution, destabilizing trial, punishment, or civil strife. Its central image is a process that exposes or tests what is genuine.",temptation,فَتَنَ (verb) — test; tempt | مَفْتُون (passive participle) — captivated; infatuated,Attraction context: fascination; captivating charm.
البلاء,"A test permitted or decreed by Allah that reveals a person's response and may refine character. It can occur through hardship or prosperity, not only calamity.",calamity,اِبْتَلَى (verb) — test; try | مُبْتَلًى (passive participle) — tested; afflicted,
الغيب,"The unseen realm inaccessible to ordinary direct perception. It includes realities known through revelation, not simply what humans have not discovered yet.",the unknown,غَابَ (verb) — be absent; disappear | غَائِب (active participle) — absent; missing,
القدر,"Allah's measured decree and apportionment of creation and events. Unlike blind fate, it is connected with divine knowledge, will, measure, and creation.",fate,قَدَّرَ (verb) — measure; decree | مُقَدَّر (passive participle) — measured; decreed,
القضاء,"A decisive judgment, completion, or enactment. In theology it can refer to Allah's decree taking effect; in law it can mean judicial judgment, so context is essential.",destiny,قَضَى (verb) — decide; judge | قَاضٍ (noun) — judge; adjudicator,
المشيئة,"Divine will by which events occur or do not occur. It is an effective will, not an uncertain wish.",wish,شَاءَ (verb) — will; wish,
الخشية,Reverent fear arising from knowledge of Allah's greatness and one's responsibility before Him. It carries a stronger sense of awe and recognition than ordinary fear.,fear,خَشِيَ (verb) — fear; revere | خَاشٍ (active participle) — fearful; reverent,
الاستقامة,"Steadfast uprightness upon faith without deviating to extremes. It is comprehensive consistency in creed, worship, and conduct.",straightness,اِسْتَقَامَ (verb) — be upright; remain straight | مُسْتَقِيم (adjective) — upright; steadfast,
السكينة,"Serenity and stabilizing assurance bestowed by Allah, especially during fear or upheaval. It is an inward settling of the heart rather than ordinary quiet.",peace,سَكَنَ (verb) — become still; settle | سَاكِن (adjective) — still; calm,
الرزق,"Whatever provision Allah apportions, including material resources, health, knowledge, opportunity, and spiritual benefit. It is broader than salary or income.",income,رَزَقَ (verb) — provide; sustain | رَازِق (active participle) — provider; sustainer,
الشبهة,A resemblance or uncertainty that makes falsehood appear plausible or a ruling appear doubtful. It can refer to intellectual confusion or an ambiguous matter.,suspicion,اِشْتَبَهَ (verb) — be unclear; resemble | مُشْتَبِه (adjective) — ambiguous; doubtful,
الورع,Scrupulous restraint from doubtful or spiritually harmful matters. It is cautious moral self-protection beyond bare legality.,piety,تَوَرَّعَ (verb) — abstain scrupulously; be cautious | مُتَوَرِّع (active participle) — scrupulous; abstinent,
السنة,"The Prophet's normative teaching, practice, and approved way; in other contexts, an established practice or recurring divine pattern. The intended sense must be determined from context.",tradition,سَنَّ (verb) — institute a practice; establish a precedent,Different vocalization (السَّنَة): year.
البدعة,"A practice introduced into religion as worship without a valid basis. In this sermon context, it does not refer to every new tool, technology, or ordinary custom.",innovation,اِبْتَدَعَ (verb) — innovate; originate | مُبْتَدِع (active participle) — innovator; originator,
الفتوى,"A qualified scholar's nonbinding legal answer to a religious question. It differs from a court judgment, which can be legally enforceable.",religious ruling,أَفْتَى (verb) — issue a legal opinion; give a fatwa | مُفْتٍ (noun) — mufti; legal scholar,
الشريعة,"The divinely revealed path encompassing faith, worship, ethics, and law. Reducing it to criminal penalties or court rules seriously narrows the concept.",islamic law,شَرَعَ (verb) — prescribe; legislate | شَرْعِيّ (adjective) — legal; Sharia-related,
الاجتهاد,Disciplined reasoning by a qualified scholar to derive or apply a religious ruling. It is not unrestricted personal opinion.,independent legal reasoning,اِجْتَهَدَ (verb) — exert independent reasoning; strive intellectually | مُجْتَهِد (noun) — independent jurist; mujtahid,
التقليد,"Following a qualified juristic authority without independently deriving the proof. It is technical reliance, not necessarily mindless copying.",imitation,قَلَّدَ (verb) — imitate; follow | مُقَلِّد (active participle) — follower; imitator,
الحجة,"A decisive proof that establishes truth and responsibility. It denotes evidence that leaves no valid excuse, not rhetorical debate.",argument,اِحْتَجَّ (verb) — argue; cite as proof,Different vocalization (الحِجَّة): one pilgrimage; a performance of Hajj.
الوحي,"Divine communication conveyed to a prophet in the manner Allah chooses. It is authoritative revelation, not private intuition or creative inspiration.",inspiration,أَوْحَى (verb) — reveal; communicate discreetly | مُوحًى (passive participle) — revealed; communicated,General Arabic: a discreet signal; a quick communication or suggestion.
التأويل,"A contextually justified interpretation, final outcome, or ultimate realization of a text or event. Classical usage is broader than free allegorical interpretation.",interpretation,أَوَّلَ (verb) — interpret; explain an intended outcome | مُؤَوِّل (active participle) — interpreter; one who interprets,
الموعظة,"A heart-directed admonition combining teaching, warning, encouragement, and compassionate counsel. Its aim is moral awakening, not information alone.",lecture,وَعَظَ (verb) — admonish; exhort | وَاعِظ (noun) — preacher; admonisher,
الدعوة,"Inviting people to Allah with knowledge, wisdom, and suitable means. It is principled invitation, not coercion or publicity alone.",preaching,دَعَا (verb) — invite; call | دَاعِيَة (noun) — preacher; caller,"Social context: invitation, such as to a meal or event."
المعروف,"What revelation and sound custom recognize as right, fitting, and socially honourable. It is more than whatever is familiar.",the known,عَرَفَ (verb) — know; recognize,
المنكر,What revelation and sound moral judgment recognize as wrong or unacceptable. It is not simply something unfamiliar.,evil,أَنْكَرَ (verb) — deny; disapprove,
العدل,Giving each person or matter its due and judging without bias or excess. Justice does not always require identical treatment when relevant circumstances differ.,equality,عَدَلَ (verb) — act justly; deal fairly | عَادِل (adjective) — just; fair,
القسط,"Manifest fairness that gives each party its due. It stresses enacted and measurable justice, especially in dealings and testimony.",balance,أَقْسَطَ (verb) — act justly; deal equitably | مُقْسِط (adjective) — just; equitable,Different vocalization (القِسْط): installment; scheduled payment.
الكفر,"Rejecting, denying, or covering over divine truth. The word has theological and legal uses, and applying it to particular people requires context and care.",disbelief,كَفَرَ (verb) — disbelieve; reject | كَافِر (noun) — disbeliever; unbeliever | كَافِرُون (plural) — disbelievers; unbelievers,"Moral/lexical context: ingratitude; denial of a favour, without necessarily meaning theological disbelief."
الربا,A prohibited increase or exchange imbalance defined by Islamic commercial law. It includes many forms of interest but is a wider juristic category than the English word alone.,interest,رَبَا (verb) — increase; grow | رِبَوِيّ (adjective) — usurious; interest-based,Lexical/root context: increase; growth.
الزكاة,"The obligatory, calculated share of qualifying wealth given to designated recipients. It is a legal right of recipients, not merely voluntary charity.",charity,زَكَا (verb) — grow; become pure | زَكَّى (verb) — purify; give zakat on,
الأمانة,"A trust or responsibility that must be faithfully protected and fulfilled. It includes entrusted property, duties, rights, and confidential information, not honesty alone.",honesty,اِئْتَمَنَ (verb) — entrust; place in trust | أَمِين (adjective) — trustworthy; honest,
العهد,"A binding pledge, entrusted obligation, or covenant. It can denote divine covenant, human commitment, or a duty whose breach is betrayal.",promise,عَاهَدَ (verb) — make a covenant; pledge,Historical context: era; reign or period.
الميثاق,"A solemn binding covenant, often witnessed before Allah. It is stronger than a contract; it carries sacred and moral accountability.",agreement,,
البر,"Comprehensive righteousness expressed through faith, worship, generosity, and good character. It is broader than a single charitable act.",goodness,بَرَّ (verb) — be dutiful; show kindness | بَارّ (active participle) — dutiful; righteous | أَبْرَار (plural) — the righteous; the dutiful,Different vocalization (البَرّ): dry land; land as opposed to sea.
الأمة,"A community united by a shared faith, purpose, or messenger; in sermons, usually the worldwide Muslim community. It is not identical to a nation-state or ethnicity.",nation,,"Qur'anic context: a period of time (12:45); elsewhere, an exemplary leader/model (16:120)."
الجماعة,"The united Muslim community or a body gathered around legitimate guidance. The word can also simply mean a group, so theological claims depend on context.",group,جَمَعَ (verb) — gather; collect,
الأخوة,"A bond of mutual loyalty, dignity, and responsibility grounded in faith or humanity. Ukhuwwah entails rights and duties, not emotional closeness alone.",brotherhood,,
الشورى,The Islamic principle of consulting relevant people before making a responsible decision. It is not identical to a single modern political system or to majority voting in every matter.,democracy,شَاوَرَ (verb) — consult; seek counsel,Institutional context: consultative council; advisory body.
القيامة,"The resurrection and great standing of creation before Allah for judgment. The word emphasizes rising and standing, not only the destruction of the world.",doomsday,قَامَ (verb) — rise; stand,
الحساب,"Allah's reckoning of beliefs, intentions, words, and deeds. It is moral accounting, not arithmetic alone.",calculation,حَاسَبَ (verb) — call to account; reckon | حَاسِب (noun) — accountant; reckoner,
الميزان,"The divinely just weighing of deeds, records, or people on the Day of Judgment. It expresses exact accountability and is treated in sermons as an eschatological reality.",balance,وَزَنَ (verb) — weigh; measure by weight,
الصراط,"The straight path of guidance, and in eschatological contexts the crossing over Hell toward Paradise. The intended meaning depends on the passage.",road,,
الشفاعة,Intercession granted only by Allah's permission and approval. It is not an automatic spiritual privilege or a means of overriding divine judgment.,mediation,شَفَعَ (verb) — intercede; mediate | شَافِع (noun) — intercessor; mediator,
الجنة,"The divinely prepared everlasting abode of nearness, safety, and reward. It is Paradise; the root image of a concealed garden does not exhaust the concept.",garden,,
النار,"The divinely created abode or punishment of the condemned. It means Hell, not every physical flame.",fire,,
